Nama,,Ibukota,,,Kecamatan,Kelurahan,Desa,Luas,Penduduk,Pengentri,Keterangan,http://www.kemendagri.go.id/media/documents/2015/02/25/l/a/lampiran_i.pdf
Aceh,,,,,,,,,,,14-Jun,
 KABUPATEN EMPAT LAWANG,,Tebing Tinggi,,,10,3,153,"2,256.44","322,184",VIKTORY,,
 KABUPATEN PENUKAL ABAB LEMATANG I,,Talang Ubi,,,5,6,65,"1,840.00","161,952",VIKTORY,,
 KABUPATEN MUSI RAWAS UTARA,,Rupit,,,7,7,82,"6,008.55","182,807",VIKTORY,,
 KOTA PALEMBANG,,Pelembang,,,16,107,,369.22,"1,548,064",VIKTORY,,
 KOTA PAGAR ALAM,,Pagar Alam,,,5,35,,633.66,"136,244",VIKTORY,,
 KOTA LUBUK LINGGAU,,Lubuk Linggau,,,8,72,,401.5,"208,225",VIKTORY,,
 KOTA PRABUMULIH,,Prabumulih,,,6,22,15,251.94,"188,082",VIKTORY,,
,,,,,,,,,,,,
Bengkulu,,,,,,,,,,,,
 KABUPATEN BENGKULU SELATAN,,Manna,,,11,16,142,"1,186.10","161,737",ELBERT,,
 KABUPATEN REJANG LEBONG,,Curup,,,15,34,122,"1,639.98","268,569",ELBERT,,
 KABUPATEN BENGKULU UTARA,,Arga Makmur,,,17,5,215,"4,324.60","274,031",ELBERT,,
 KABUPATEN KAUR,,Bintuhan,,,15,3,192,"2,369.05","123,236",ELBERT,,
 KABUPATEN SELUMA,,Tais,,,14,20,182,"2,400.44","204,790",ELBERT,,
 KABUPATEN MUKO MUKO,,Mukomuko,,,15,3,148,"4,036.70","169,458",IDA,,
 KABUPATEN LEBONG,,Tubei,,,12,11,93,"1,921.82","110,380",IDA,,
 KABUPATEN KEPAHIANG,,Kepahiang,,,8,12,105,665,"144,418",IDA,,
 KABUPATEN BENGKULU TENGAH,,Karang Tinggi,,,10,1,142,"1,223.94","106,761",IDA,,
 KOTA BENGKULU,,Bengkulu,,,9,67,,151.7,"360,495",IDA,,
,,,,,,,,,,,,
Lampung,,,,,,,,,,,,
 KABUPATEN LAMPUNG SELATAN,,Kalianda,,,17,4,256,700.32,"1,259,289",IDA,,
 KABUPATEN LAMPUNG TENGAH,,Gunung Sugih,,,28,10,301,"3,802.68","1,448,848",IDA,,
 KABUPATEN LAMPUNG UTARA,,Kotabumi,,,23,15,232,"2,725.87","878,263",DITA,,
 KABUPATEN LAMPUNG BARAT,,Liwa,,,15,5,131,"2,142.78","294,636",DITA,,
